radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,"452","4","11113","4504","0","105.8567","21.025","1000","12","1","1458908068","1701265517","0"
GSM,"452","4","11207","5743","0","105.8317","20.9668","1085","43","1","1458028872","1701265514","0"
GSM,"452","4","11205","60462","0","105.8522","21.0195","3517","16","1","1458908069","1701265518","0"
GSM,"452","4","11207","60033","0","105.8337","20.9673","1152","57","1","1458028872","1701265515","0"
GSM,"452","4","11207","60594","0","105.8329","20.9643","1055","89","1","1458908070","1701687741","0"
GSM,"452","4","11207","60596","0","105.8316","20.9645","1155","125","1","1458156671","1701265514","0"
GSM,"452","4","11207","6722","0","105.8323","20.9709","2659","11","1","1458908070","1701265509","0"
GSM,"452","4","11228","62116","0","105.8014","20.9937","1000","15","1","1458908072","1701265504","0"
GSM,"452","4","11407","11593","0","105.8411","20.9901","1000","16","1","1458908073","1701265516","0"
GSM,"452","4","11407","5723","0","105.8413","20.9779","1000","4","1","1458028861","1701265516","0"
GSM,"452","4","11205","1459","0","105.8517","21.0141","1000","10","1","1458908069","1701265517","0"
GSM,"452","4","11205","14063","0","105.8552","21.0155","1000","9","1","1458908069","1701265519","0"
GSM,"452","4","11207","5741","0","105.8387","20.9663","1000","5","1","1458908070","1701265513","0"
GSM,"452","4","11205","13511","0","105.8523","21.0213","1000","4","1","1408433849","1701265517","0"
GSM,"452","4","11207","6721","0","105.837","20.9717","1000","5","1","1458028872","1701265509","0"
GSM,"452","4","11207","60231","0","105.8409","20.9729","1000","7","1","1458028872","1701265515","0"
GSM,"452","4","11207","64384","0","105.8389","20.9661","1000","19","1","1458908070","1701265515","0"
GSM,"452","4","11207","64386","0","105.8349","20.9666","1000","65","1","1458156671","1701687741","0"
GSM,"452","4","11228","12650","0","105.8049","20.9892","1000","2","1","1429853720","1701265503","0"
GSM,"452","4","11205","6521","0","105.8521","21.0186","1000","8","1","1448074385","1701265518","0"
GSM,"452","4","11205","13521","0","105.8623","21.0188","1000","2","1","1408433849","1701863525","0"
GSM,"452","4","11207","60232","0","105.8402","20.9713","1195","14","1","1458156671","1701265515","0"
GSM,"452","4","11207","9221","0","105.8442","20.9638","1000","6","1","1458908070","1701265515","0"
GSM,"452","4","11407","5355","0","105.8385","20.9816","1000","11","1","1458028894","1701265516","0"
GSM,"452","4","11407","11591","0","105.8411","20.9889","1000","19","1","1453959851","1701265516","0"
GSM,"452","4","11407","13782","0","105.841","20.9796","1000","11","1","1458028861","1701265516","0"
GSM,"452","4","11605","63163","0","105.8411","20.9945","1000","3","1","1446205740","1701265516","0"
GSM,"452","4","11612","7811","0","105.8459","20.9968","1000","13","1","1458908075","1701265507","0"
GSM,"452","4","11613","9283","0","105.8434","21.0101","2601","8","1","1458908075","1701265516","0"
GSM,"452","4","11205","63896","0","105.8533","21.019","1000","12","1","1453959851","1701265518","0"
GSM,"452","4","11205","13581","0","105.8445","21.0226","2645","6","1","1458908069","1701265518","0"
GSM,"452","4","11407","6843","0","105.841","20.9862","1000","14","1","1453959851","1701265516","0"
GSM,"452","4","11407","11693","0","105.841","20.9745","1000","8","1","1458028894","1701265515","0"
GSM,"452","4","11407","62861","0","105.8371","20.9954","1000","14","1","1445588027","1701265507","0"
GSM,"452","4","11205","64415","0","105.8629","21.0186","1000","3","1","1408433849","1701863525","0"
